id,Player,Mat,Wkts,Country
1,LasithMalinga,122,170,SL
2, Amit Mishra,147,157,Ind
3, Harbhajan Singh,160,150,Ind
4, Piyush Chawla,157,150,Ind
5, Dwayne Bravo,134,147,WI
6, Bhuvneshwar Kumar,117,133,Ind
7, Ravichandran Ashwin,139,125,Ind
8, Sunil Narine,110,122,WI
9, Umesh Yadav,119,119,Ind
10, Ravindra Jadeja,170,108,Ind
11, Ashish Nehra,88,106,Ind
12, Vinay Kumar,105,105,Ind
13, Zaheer Khan,100,102,Ind
14, Yuzvendra Chahal,84,100,Ind
15, Dale Steyn,92,96,SA
16, Sandeep Sharma,79,95,Ind
17, Shane Watson,134,92,Aus
18, Mohit Sharma,85,91,Ind
19, Praveen Kumar,119,90,Ind
20, RP Singh,82,90,Ind
21, Pragyan Ojha,92,89,Ind
22, Dhawal Kulkarni,90,86,Ind
23, Albie Morkel,91,85,SA
24, Jasprit Bumrah,77,82,Ind
25, Irfan Pathan,103,80,Ind
26, Imran Tahir,55,79,SA
27, Morne Morkel,70,77,SA
28, Jaydev Unadkat,73,77,Ind
29, Lakshmipathy Balaji,73,76,Ind
30, Munaf Patel,63,74,Ind
